No,Reward Type,Name,Image,SetItemId,Description (Click for Details),Used For,Sending Flow,Reward Title,Reward Text,Note
1,Token,FDS,,,"Earn Freedom Shards, the ecosystem's core currency, by embarking on community missions on Freedom World. Explore exclusive perks and items by redeeming Shards in the Shard Shop via the Missions page to make the most of opportunities on the Metaverse.",All,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
2,Token,TYM,,,"TYM points serve as the community currency of TomYumThai, allowing you to enjoy a variety of authentic dishes and drinks at ""ข้าวแกงใต้ชาววัง"" Southern Thai Restaurant, as well as other merchants in the TomYumThai ecosystem.

สามารถใช้ TYM พอยท์ เพื่อแลกเป็นอาหารและเครื่องดื่มที่ร้าน ""ข้าวแกงใต้ชาววัง"" ร้านต้นตำรับอาหารใต้และร้านอื่นๆในเครือของคอมมูนิตี้ TomYumThai",Tom Yum Thai,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
3,NFT,"Cha Khong - Small Bottle
",,ITMTYM000001,"Unlock a small bottle of Cha Khong tea by completing your mission. 
Choose between two flavors: Original Thai Tea or Premium Thai Tea.
Redeem your NFT for a refreshing treat and enjoy a taste of Thai Tea at Khaokaeng Thai Chaowang @Romklao km.9, Bangchak Petrol branch and All Season Kaeng Tai @Soi Lat Krabang 38 branch.

ชาก๋งขวดเล็ก ชาใต้แท้สูตร 100 ปี มีกลิ่นหอม รสมันเข้มข้น ไม่ผสมสีอาหาร
สามารถเลือกได้ 2 รสชาติ: ชาไทยดั้งเดิม หรือ ชาไทยพรีเมียม
*คูปองนี้สามารถใช้ได้เฉพาะที่ร้าน ""ข้าวแกงใต้ชาววัง"" สาขาปั๊มบางจาก ร่มเกล้า กม.9 และ ""แกงใต้ออลซีซัน"" สาขาซอยลาดกระบัง 38 เท่านั้น",Tom Yum Thai,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
4,NFT,Cha Khong - Big Bottle,,ITMTYM000002,"Unlock a large bottle of Cha Khong tea by completing your mission. 
Choose between two flavors: Original Thai Tea or Premium Thai Tea.
Redeem your NFT for a refreshing treat and enjoy a taste of Thai Tea at Khaokaeng Thai Chaowang @Romklao km.9, Bangchak Petrol branch and All Season Kaeng Tai @Soi Lat Krabang 38 branch.

ชาก๋งขวดใหญ่ ชาใต้แท้สูตร 100 ปี 1 ลิตร มีกลิ่นหอม รสมันเข้มข้น ไม่ผสมสีอาหาร
สามารถเลือกได้ 2 รสชาติ: ชาไทยดั้งเดิม หรือ ชาไทยพรีเมียม 
*คูปองสามารถใช้ได้เฉพาะที่ร้าน ""ข้าวแกงใต้ชาววัง"" สาขาปั๊มบางจาก ร่มเกล้า กม.9 และ ""แกงใต้ออลซีซัน"" สาขาซอยลาดกระบัง 38 เท่านั้น",Tom Yum Thai,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
5,NFT,Oliang,,,"Unlock a Oliang by completing your mission. 
Redeem your NFT for a refreshing treat and enjoy a taste of Oliang at Khaokaeng Thai Chaowang @Romklao km.9, Bangchak Petrol branch and All Season Kaeng Tai @Soi Lat Krabang 38 branch.

โอเลี้ยงสูตรดั้งเดิม มีกลิ่นหอม รสมันเข้มข้น ไม่ผสมสีอาหาร
*คูปองสามารถใช้ได้เฉพาะที่ร้าน ""ข้าวแกงใต้ชาววัง"" สาขาปั๊มบางจาก ร่มเกล้า กม.9 และ ""แกงใต้ออลซีซัน"" สาขาซอยลาดกระบัง 38 เท่านั้น",Tom Yum Thai,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
6,Token,BED,,,"BED point is the community currency of Bored Town, offering members the opportunity to accumulate and redeem for a host of exclusive benefits. 
From online and offline events at Phrae, the hub of Bored Town, to workshop tickets, merchandise, and stays, BED point unlocks a world of perks within the community. 
Just navigate through the community dashboard ‘Shop’ feature to use BED point.",Bored Town,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
7,NFT,SRANN - Soap Making Workshop,,,"SRANN -  Soap Making Workshop

Workshop on making soap from natural oils and used cooking oil

This workshop aims to reduce the amount of cooking oil disposed of in water sources by teaching participants how to make soap from natural oils and used cooking oil.

The workshop will cover the following topics:

1. The different types of natural oils and their properties
2. The process of making soap from natural oils and used cooking oil
3. The benefits of using natural soap
4. How to use soap safely and effectively

Participants will have the opportunity to make their own soap using a variety of natural oils and fragrances. They will also learn how to store and use their soap safely and effectively.

*Note: The ticket is limited to a maximum of 5 participants.                                                                        
------------------------------------
เวิร์คช็อปทำสบู่จากน้ำมันธรรมชาติและน้ำมันเหลือใช้ในครัว

เวิร์คช็อปนี้เน้นการลดปริมาณน้ำมันปรุงอาหารที่ทิ้งลงสู่แหล่งน้ำ ด้วยการสอนผลิตสบู่จากน้ำมันธรรมชาติและน้ำมันเหลือใช้ในครัว ที่จะช่วยให้เราใช้ประโยชน์จากน้ำมันปรุงอาหารได้สูงสุดและลดการทิ้งน้ำมันปรุงอาหารลงสู่แหล่งน้ำ

เนื้อหาของเวิร์คช็อปครอบคลุมหัวข้อดังนี้:

1. ชนิดของน้ำมันธรรมชาติที่หลากหลายและคุณสมบัติของแต่ละชนิด
2. กระบวนการผลิตสบู่จากน้ำมันธรรมชาติและน้ำมันเหลือใช้
3. ประโยชน์ของการใช้สบู่ธรรมชาติ
4. วิธีใช้สบู่ให้อย่างปลอดภัยและมีประสิทธิภาพ

ผู้เข้าร่วมจะมีโอกาสลงมือทำสบู่ของตัวเอง โดยสามารถเลือกใช้ทั้งน้ำมันธรรมชาติและกลิ่นต่างๆ ได้หลากหลาย นอกจากนี้ ยังจะได้เรียนรู้วิธีการเก็บรักษาและใช้สบู่ที่ผลิตเองอย่างปลอดภัย

*หมายเหตุ สามารถเข้าร่วมเวิร์คช็อปได้ไม่เกิน 5 ท่าน",Bored Town,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
8,Token,WEECO,,,"WEECO Points represent the CO₂ emissions you’ve saved through purchasing WEECO products, 
with each purchase resulting in a reduction of 125mg of CO₂, earning you 125 WEECO Points. 
Accumulate these points by progressing through levels within the Eco Milestone Purchasing Mission. 
Keep them in your wallet as a symbol of your dedication to sustainability.
Start earning WEECO Points now by purchasing WEECO products and clicking ‘claim’ to redeem your rewards. 
Join us in making a positive impact on the environment today!",We Eco,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
9,Token,FFF,,,"In Freedom Fantasy Football, FFF points act as the community currency. Members earn points by participating in match predictions, with their scores appearing on the leaderboard for each league. This point system will also be applicable to future major league tournaments. Members can gather these points to redeem a wide range of rewards. ",Freedom Fantasy Football,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
10,NFT,A Free Tasting Ticket,,ITMBZD000001,"In the events, wines from each month theme region are served in order to complement with the previous bottle. Professional Sommelier are invited to describing the characteristic of each wine and give a brief history about it. Snacks and pairing food are also provided in the events, with no additional cost.

Location : The Deck
Event time: 7:00-9:00 PM

This free ticket has to be registered at least 24 hours before the event. Please contact Boozia on Line at ""@boozia"" to book your seat before attending.

Terms and Conditions:
1. This ticket is one-time use, once used the ticket will be removed from your account.
2. This price is net, with vat and service charge included. No additional cost is required!
3. The ticket can be used until 27 November 2024. You can show the QR code of this e-ticket at the event, and the staff will validate it.",Boozia,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
11,NFT,Special Discount on Wine,,ITMBZD000002,"Congratulations! You've received a 20% discount e-coupon on wine, redeemable at OG House Pridi Banomyong 11 (Boozia Distribution)!

Terms and Conditions:
1. The coupon cannot be exchanged for cash.
2. The coupon cannot be used with other promotions.
3. This coupon is valid until 31 December 2024.
4. The list of redeemable wines is provided at the store, or contact us for more information.
5. Terms and condition maybe change by the company without notice in advance.",Boozia,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
12,NFT,Free Frontera Chardonnay Voucher (May-Jul'24),,,"Choose your Chardonnay thru the Freedom world app, and get this coupon redeemable for a free bottle of Frontera, our best-selling Chardonnay

Terms & Conditions
- Bottles must be purchased within the duration of the campaign
- Free coupon will be expired by 31 July 2024
- Cannot be redeemed for cash
- If out of stock, we may offer a different Cabernet of equal or greater value
",Seen Space,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
13,NFT,Free Frontera Cabernet Sauvignon Voucher (May-Jul'24),,,"Choose your Cabernet thru the freedom world app, and get a coupon redeemable for a free bottle of Frontera, our best-selling Cabernet

Terms & Conditions
- Bottles must be purchased within the duration of the campaign
- Free coupon will be expired by 31 July 2024
- Cannot be redeemed for cash
- If out of stock, we may offer a different Cabernet of equal or greater value",Seen Space,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
14,Token,RSC,,,RSC point is a point that can be used in Rosie Master community.,Rosie Master,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
15,NFT,Rosie Master Beauty Pass,,ITMROSIE000001,"* This Free Pass Voucher can be redeemed for one of the following services at the clinic: 
Rosie Body Shine Vitamin Drip, Laser Hair Remova Diode 3D Cooling, or Hifu 300 shots.
* This Free Pass Voucher expires on 31 Dec 2024.

* Free Pass Voucher สามารถเลือกรับบริการฟรีโดยเลือกบริการ ดริปวิตามิน Rosie Body Shine , 
เลเซอร์ขน Diode 3D Cooling หรือ Hifu จำนวน 300 shots,  อย่างใดอย่างหนึ่งที่คลินิก
* Free Pass Voucher นี้หมดอายุภายในวันที่ 30 ธันวาคม 2024",Rosie Master,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
16,Token,SPK,,,"Fuse Sparks (SPK) is the loyalty and experience point within Fuse Community. 
Earn SPK tokens as you participate in exciting missions and activities on Freedom World. 
Each SPK you earn is convertible to 0.001 FUSE. Start collecting your SPK and enjoy benefits from Fuse today!",FUSE,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
17,Token,BUF,,,"BUF Points represent the value of your donation to the Baan Unrak Foundation. When you top up through our community, you will receive BUF Points to indicate your contribution.






",Baan Unrak Foundation,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
18,Token,FDM,,,"FDM is the fuel behind the Freedom Ecosystem, connecting Web3 with the real world through governance, gamified experiences, and innovations like staking and NFTs. The more FDM you hold, means the greater rewards and influence in shaping the ecosystem.",All,Automatic (FDW & BTZ Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
19,Token,AREA,,,AREA points are community points used within the Area Five Cafe Community,Area Five,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
20,Token,USDT,,,World’s largest stablecoin. A digital dollar powered by Blockchain. Find out more: https://tether.to/en/transparency/?tab=usdt,Tether,Manual (BTZ TH Wallet),You will receive,"Your rewards will be airdropped to your wallet on the Bitazza Thailand app, within 14 business days after the campaign ends.",Entity Name: Tether Stablecoins
21,Token,USDT,,,World’s largest stablecoin. A digital dollar powered by Blockchain. Find out more: https://tether.to/en/transparency/?tab=usdt,Bitazza TH,Manual (BTZ TH Wallet),You will receive,"Your rewards will be airdropped to your wallet on the Bitazza Thailand app, within 14 business days after the campaign ends.",Entity Name: Bitazza TH
22,Token,USDT,,,World’s largest stablecoin. A digital dollar powered by Blockchain. Find out more: https://tether.to/en/transparency/?tab=usdt,Freedom Card,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,Entity Name: Freedom Card
23,Token,Trump,,,"The Official Trump Token (TRUMP) is a newly launched memecoin by the President of the United States, Donald Trump. Built on the trumpana blockchain, TRUMP embodies a new and unique fusion of political branding with crypto culture.

TRUMP coins will be airdropped to your wallet on the Bitazza Thailand app within 14 business days after the campaign ends.
",Bitazza TH,Manual (BTZ TH Wallet),You will receive,"Your rewards will be airdropped to your wallet on the Bitazza Thailand app, within 14 business days after the campaign ends.",
24,Token,GOH,,,"GOH Points represent the value of your donation to Gift of Happiness Foundation. When you top up through our community, you will receive GOH Points to indicate your contribution.
",Gift of Happiness,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
25,NFT,French Fries,,ITMSEEN000016,Starchy potato base explodes with savory salt a touch of deep-fried goodness.,Seen Space,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
26,NFT,Budweiser bottle,,ITMSEEN000017,"American lager beer. Brewed with high-quality barley malt, a blend of premium hop varieties, fresh rice.",Seen Space,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
27,NFT,Pint of Singha,,ITMSEEN000018,Thai lager beer brewed from the finest ingredients with 100% Barley Malt and Saaz Hops.,Seen Space,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
28,NFT,Smoothies (Variety of Flavors) Reward,,ITMAFC000001,"A cool and refreshing mix of fresh fruits and ice, blended to perfection for a naturally sweet and tasty drink.",Area Five,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
29,NFT,The Scape Monster - Harpy Featherling T-shirt,,ITMAFC000002,"Embrace the fierce allure of the Harpy! 
With bold, intricate artwork and premium cotton comfort, this tee brings mythical energy to your style. ",Area Five,Manual - Physical Item (Contact CS),Chance to win,"Thanks for participating, please wait for the campaign winner announcement.",
30,Token,TGT,,,TGT points are community points used within the Topgolf Thailand Community,Topgolf,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
31,Token,CRN,,,CRN points are community points used within the Cherean Community.,Cherean,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
32,Token,ONYX,,,ONYX points are community points used within the ONYX Community.,ONYX,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
33,NFT,Freedom Shot,,,"[Blow Job Shot]
โชว์ QR Code นี้กับบาร์เทนเดอร์ที่บาร์ด้านหน้า เพื่อสแกนและรับเครื่องดื่มเลย!
Show this QR code to the bartender at the front bar to claim your drink!
出示此二维码给前吧台的调酒师，即可领取您的饮品!",ONYX,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
34,Token,SYN,,,SYN points are community points used within the SSTown Community.,SSTown,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
35,NFT,Rugged Explorer Helm,,CSCAPE000001_WSCAPE000001,"Designed to shield the head from environmental hazards, this helm comes equipped with basic HUD displays and breathable filters for lifesupport on uncharted planets.",The Scape,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
36,NFT,Rugged Explorer Gloves,,CSCAPE000001_WSCAPE000004,"Engineered for adaptability, these gloves enhance dexterity while providing insulation from extreme temperatures and minor environmental threats.",The Scape,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
37,NFT,Rugged Explorer Pants,,CSCAPE000001_WSCAPE000005,"Reinforced with durable fibers, these pants are built to withstand the roughest environments, from jagged rocks to torrential floods.",The Scape,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
38,NFT,Rugged Explorer Pack,,CSCAPE000001_WSCAPE000008,"A standard life-support pack that integrates with any suit, offering basic shields and environment-specific adaptations to optimize survival.",The Scape,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
39,NFT,Standard-issue Blaster,,CSCAPE000001_WSCAPE000007,"A reliable compact blaster favored by explorers, designed for consistent firepower and durability in any environment.",The Scape,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
40,NFT,Rugged Explorer Boots,,CSCAPE000001_WSCAPE000006,"Equipped with enhanced grip and shock-absorbent soles, these boots ensure stability and comfort, even on the most unforgiving surfaces.",The Scape,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
41,NFT,Rugged Explorer Cloak,,CSCAPE000001_WSCAPE000003,"Lightweight and weather-resistant, this cloak helps explorers blend into their surroundings while shielding them against environmental hazards.",The Scape,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
42,NFT,Rugged Explorer Chestplate,,CSCAPE000001_WSCAPE000002,"Crafted from lightweight alloys, this chestplate offers essential protection without sacrificing mobility, ideal for navigating hostile terrains.",The Scape,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
43,NFT,Pendant of the Seraph,,EPICS_CSCAPE000001_WSCAPE000002,This pendant combines runic magic and arcane technology like only the Aesir can.,The Scape,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
44,Consumables,Potion of Health,,IC_POTION_HEALTH,"Restores 50 HP to your Avatar. 
Synthesized from Biogel and Nanocircuitry, this red liquid was first introduced by the Aesir, using a combination of Scape Magic and Technology to heal wounds both internal and external.",The Scape,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,details here
45,Consumables,Potion of Extra Health,,IC_POTION_EXTRA_HEALTH,"Restores 80 HP to your Avatar.
A more concentrated form of the Potion of Health, anyone who drinks this liquid feels more vitalized on the spot, while their wounds rapidly close.",The Scape,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,details here
