No,Reward Type,Name,Image,SetItemId,Description (Click for Details),Used For,Sending Flow,Reward Title,Reward Text,Note
46,Token,PRANG,,,PRANG points are community points used within Prang View,Prang View,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
47,Token,WAFF,,,Ratio WAFF Points,Prang View,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
48,NFT,"Two-tone Waffle
(1 ea)",,ITMRTW000002,"Enjoy a Free 1 Two-tone Waffle
(1 ea)
Choose 1 sauce from 
Chocolate/ Caramel/ Blueberry/ strawberry/ maple syrup 

* Any issue that has our judgment will be final.
-
ฟรี ทูโทน วาฟเฟิล
(มีซอสแถมในชุด)
มีให้เลือก 5 ซอส
ช็อคโกแลต/ คาราเมล/ บลูเบอรี่/ สตอเบอรี่/ เมเปิ้ลไซรัป

*ในกรณีที่มีข้อโต้แย้งใด ๆ คำตัดสินของทางร้านค้าถือเป็นที่สิ้นสุด",Ratio Waffle,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
49,NFT,"FREE! 1 Ratio Roll worth 20 THB
any flavor.",,ITMRTW000004,"รับฟรี! ขนมโตเกียวราคา 20 บาท 1 ชิ้น รสชาติใดก็ได้
.
เงื่อนไขและข้อกำหนด
-สามารถแลกรับได้ 2 สาขาเท่านั้น*
1. สาขา JAS green village Ramkhamhaeng's
2. สาขา Nirvana pouch
-ทางเราจะไม่รับผิดชอบในกรณีที่เวาเชอร์สูญหาย ถูกขโมย หรือถูกใช้งานโดยไม่ได้รับอนุญาต
-เวาเชอร์นี้ไม่สามารถแลกเป็นเงินสดได้
-ผู้ใช้สามารถใช้บัตรกำนัลนี้ได้ 1 ใบต่อ 1 บิล และใช้ได้เพียง 1 ครั้งเท่านั้น
-บัตรกำนัลนี้ไม่สามารถโอนสิทธิ์ให้ผู้อื่นหรือจำหน่ายต่อได้ไม่ว่ากรณีใดๆ
-ลูกค้าสามารถรับสินค้าได้ภายในเวลา 20:00 น. ของทุกวัน",Ratio Waffle,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
50,NFT,"
FREE Ratio Roll Special Set worth 100 THB
",,ITMRTW000005,"รับฟรี! ขนมโตเกียว Special Set มูลค่า 100 บาท จำนวน 5 ขิ้น ดังนี้
1.ปูอัด ไข่กุ้ง ชีส
2.ผักโขม ไส้กรอก ชีส
3.นูเทลล่า กล้วยหอม
4.คัสตาร์ดครีม อัลมอนด์
5.คัสตาร์ด ใบเตย
.
เงื่อนไขและข้อกำหนด
-สามารถแลกรับได้ 2 สาขาเท่านั้น*
1. สาขา JAS green village Ramkhamhaeng's
2. สาขา Nirvana pouch
-ทางเราจะไม่รับผิดชอบในกรณีที่เวาเชอร์สูญหาย ถูกขโมย หรือถูกใช้งานโดยไม่ได้รับอนุญาต
-เวาเชอร์นี้ไม่สามารถแลกเป็นเงินสดได้
-ผู้ใช้สามารถใช้บัตรกำนัลนี้ได้ 1 ใบต่อ 1 บิล และใช้ได้เพียง 1 ครั้งเท่านั้น
-บัตรกำนัลนี้ไม่สามารถโอนสิทธิ์ให้ผู้อื่นหรือจำหน่ายต่อได้ไม่ว่ากรณีใดๆ
-ลูกค้าสามารถรับสินค้าได้ภายในเวลา 20:00 น. ของทุกวัน",Ratio Waffle,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
51,NFT,Choose any yogurt flavor: blueberry or strawberry,,ITMTCD000001,"Choose any yogurt flavour: blueberry or strawberry

* Any issue that has occurred, our judgment will be final.
-
เลือกรับโยเกิรต์พร้อมดื่มได้ฟรี 1 ขวด รสสตรอว์เบอร์รีหรือบลูเบอร์รี

*ในกรณีที่มีข้อโต้แย้งใด ๆ คำตัดสินของทางร้านค้าถือเป็นที่สิ้นสุด",Tochio Donut,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
52,NFT,"Enjoy 1 box (4 pcs) of classic medium-sized donuts,
 with your choice of flavors.",,ITMTCD000002,"Enjoy 1 box (4 pcs) of classic medium-sized donuts,
With your choice of flavours.

* Any issue that occurs, our judgment will be final.
-
สามารถเลือกรับโดนัทฟรี 4 ชิ้น รสชาตใดก็ได้

*ในกรณีที่มีข้อโต้แย้งใด ๆ คำตัดสินของทางร้านค้าถือเป็นที่สิ้นสุด",Tochio Donut,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
53,Token,ZENY,,,Tochio ZENY Points,Tochio Donut,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
54,NFT,Free Blessed Miniature Sacred Gold Charm,,ITMAJP000001,"ฟรี! ก้อนทองมงคลปลุกเสกแล้ว เสริมดวง เรียกโชคเรียกเงิน
ขนาด 0.9 cm.",ANant Ja Pan ChaYen,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
55,NFT,Free 1 Glass Of Small Slushy Ice Thai Tea,,ITMAJP000002,"ฟรี! ชาเย็น 1 แก้ว
Free! 1 Glass of Ice Thai Tea ",ANant Ja Pan ChaYen,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
56,NFT,Free Caramel Butter Toast,,ITMAJP000003,"ฟรี! ขนมปังคาราเมลโทสต์ ฉ่ำเนย
Free! Caramel butter Toast",ANant Ja Pan ChaYen,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
57,NFT,"Free 1 Glass of Thai Tea and 
Sweet Corn with Butter 1 pc",,ITMAJP000004,"ฟรี! ข้าวชาเย็น 1 แก้ว และข้าวโพดคลุกเนย 1 ถ้วย
Free! 1 Glass of Thai Tea and Sweet Corn with Butter 1 pc.",ANant Ja Pan ChaYen,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
58,NFT,250 Baht voucher to use at Bangbang,,ITMBKD000001,"เวาเชอร์แทนเงินสด มูลค่า 250 บาท สามารถใช้ได้ที่ BangBang Bangkok เท่านั้น

- เวาเชอร์นี้ไม่สามารถแลกเปลี่ยนเป็นเงินสด
- เวาเชอร์นี้ได้ใช้ที่ BangBang Bangkok RCA เท่านั้น
- บริษัทขอสงวนสิทธิ์หากมีการเปลี่ยนแปลงเงื่อนไขโดยไม่ต้องแจ้งให้ทราบล่วงหน้า
- คำตัดสินของพนักงานถือเป็นสิ้นสุด
",Bangkok Deejay,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
59,NFT,500 Baht voucher to use at Bangbang,,ITMBKD000002,"เวาเชอร์แทนเงินสด มูลค่า 500 บาท สามารถใช้ได้ที่ BangBang Bangkok เท่านั้น

- เวาเชอร์นี้ไม่สามารถแลกเปลี่ยนเป็นเงินสด
- เวาเชอร์นี้ได้ใช้ที่ BangBang Bangkok RCA เท่านั้น
- บริษัทขอสงวนสิทธิ์หากมีการเปลี่ยนแปลงเงื่อนไขโดยไม่ต้องแจ้งให้ทราบล่วงหน้า
- คำตัดสินของพนักงานถือเป็นสิ้นสุด",Bangkok Deejay,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
60,NFT,750 Baht voucher to use at Bangbang,,ITMBKD000003,"เวาเชอร์แทนเงินสด มูลค่า 750 บาท สามารถใช้ได้ที่ BangBang Bangkok เท่านั้น

- เวาเชอร์นี้ไม่สามารถแลกเปลี่ยนเป็นเงินสด
- เวาเชอร์นี้ได้ใช้ที่ BangBang Bangkok RCA เท่านั้น
- บริษัทขอสงวนสิทธิ์หากมีการเปลี่ยนแปลงเงื่อนไขโดยไม่ต้องแจ้งให้ทราบล่วงหน้า
- คำตัดสินของพนักงานถือเป็นสิ้นสุด",Bangkok Deejay,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
61,Token,SONG,,,Song Points,Songkhla,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
62,NFT,แก้วเก็บความเย็น Songkhla,,ITMSGK000001,"แก้วเก็บความเย็น 
สามารถแลกรับโดยส่งข้อความและรูป QR Code มาที่ Fackbook: The Spirits of Songkhla 
พร้อม ชื้อ-นามสกุล, ที่อยู่ , เบอร์โทรเพื่อจัดส่งแก้วเก็บความเย็นสุดพิเศษนี้ให้",Songkhla,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
63,Physical Item, Ledger Flex,,LDG001,"Ledger Flex is a sleek, portable hardware wallet featuring a clear and energy-efficient E Ink® touchscreen. CC EAL6+ certified, it supports over 15,000 cryptocurrencies and connects via USB-C, Bluetooth, or NFC. Personalize it with your favorite NFT display and manage assets easily through the Ledger Live app.",Bitazza TH,Manual - Physical Item (Contact CS),Chance to win,"Thanks for participating, please wait for the campaign winner announcement.",
64,Physical Item, Ledger Stax,,LDG002,"Ledger Stax is a lightweight, 45.2g hardware wallet with a clear E Ink® touchscreen and CC EAL6+ security certification. It supports over 15,000 cryptocurrencies, wireless charging, and comes with a magnetic case. Users can customize the display with NFTs and manage assets via USB-C, Bluetooth, or NFC through the Ledger Live app.",Bitazza TH,Manual - Physical Item (Contact CS),Chance to win,"Thanks for participating, please wait for the campaign winner announcement.",
65,NFT,Free Miso Soup ,,ITMYTK000001,"
ซื้อสินค้าใดก็ได้ผ่านแอปครั้งแรก รับฟรี! ซุปมิโซะ 1 ถ้วย 
*ของรางวัลมีจำนวนจำกัด",Yuutako,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
66,NFT,"Free Takoyaki Size S
(1 box) ",,ITMYTK000002,ระดับที่ 2: ใช้จ่ายครบ 500  บาท รับ ทาโกะยากิ Size S และรับแต้ม 15 Freedom Shards ,Yuutako,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
67,NFT,FREE Okonomiyaki (99 THB),,ITMYTK000003,ระดับที่ 3: ใช้จ่ายครบ 900 บาท รับ โอโคโนมิยากิ มูลค่า 99  และรับแต้ม 20 Freedom Shards,Yuutako,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
68,Token,YUU,,,Yuu points are community points used within the Yuutako Community,Yuutako,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
69,NFT,Enjoy 1 Free Cookie,,ITMRST000001,"ซื้ออาหารและเครื่องดื่มครั้งแรกกับ Rico's Sathorn รับฟรีคุกกี้ 1 ชิ้น! เลือกรสชาติระหว่าง Lucky Charm หรือ Confetti 
*ของรางวัลมีจำนวนจำกัด",Rico's Sathorn,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
70,Token,RICOS,,,RICOS points are community points used within the Rico's Sathorn Community,Rico's Sathorn,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
71,Token,BAKED,,,"BAKED points are community points used within Baked by Apple community
 ",Baked By Apple,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
72,NFT,Free 1 Original Curry Puff,,,"FREE! 1 Orginal Curry Puff
.
รับฟรี! กะหรี่พัฟรสต้นตำรับ จำนวน 1 ชิ้น",Baked By Apple,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
73,NFT,CNNT,,,CNNT points are community points used within the Tech & Trade community Thailand community,Tech & Trade community Thailand,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
74,Token,RINN,,,RINN points are community points used within the RiNn Refined Thai Tea Community,RinN Refined Thai Tea,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
75,NFT,"Free Any 1 Drink from RiNn Defined Thai Tea 
Value up to 125 THB",,ITMRRT000001,"
เพียงซื้อสินค้าครบตามขั้นที่กำหนด

LV.3 รับไปเลยรางวัลพิเศษ Free Any 1 Drink from RiNn Refined Thai Tea 
Value up to 125 THB

*ของรางวัลมีจำนวนจำกัด",RinN Refined Thai Tea,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
76,Token,VSTRT,,,VSTRT Points,V Street,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
77,Token,THB,,,Thai Baht is the official currency of Thailand.,Bitazza TH,Manual (BTZ TH Wallet),You will receive,"Your rewards will be airdropped to your wallet on the Bitazza Thailand app, within 14 business days after the campaign ends.",
78,Token,BTC,,,Bitcoin (BTC) is the world's first decentralized cryptocurrency that enables peer-to-peer electronic cash transactions without intermediaries.,Bitazza TH,Manual (BTZ TH Wallet),You will receive,"Your rewards will be airdropped to your wallet on the Bitazza Thailand app, within 14 business days after the campaign ends.",
79,NFT,CNFT,,,CNFT is the special community point used exclusively within the Conserve Natural Forests Community on Freedom World. The points make your impact clear and easy to follow: 1 CNFT point means 1 tree is planted in Thailand. This system lets you transparently track the direct effect of your contribution towards forest and land conservation.,Conserve Natural Forest,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
80,Token,THB in BTC,,,Bitcoin (BTC) is the world's first decentralized cryptocurrency that enables peer-to-peer electronic cash transactions without intermediaries.,Bitazza TH,Manual (BTZ TH Wallet),You will receive,"Your rewards will be airdropped to your wallet on the Bitazza Thailand app, within 14 business days after the campaign ends.",
81,Booster Pack,The Dominion War Booster Pack,,BOOSTER_PACK_001,"Enter the fray with the Dominion War Booster Pack! Inside, 4 randomly selected cards await, featuring guaranteed Common and Uncommon tiers. Hunt for Rare, Epic, and Alternative Art cards and wield new powers against The Dominion.",The Scape,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
82,Token,DRMF,,,DRMF is the special community point used exclusively within the Dog Rescue Mae Phim Foundation on Freedom World. The points make your impact clear and easy to follow: 1 DRMF point = 1 THB donated. This system lets you transparently track the direct effect of your contribution towards building a better life for stray dogs.,Dog Rescue Mae Phim Foundation,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
83,Physical Item,The Scape Soulgazer Keychain Limited Edition,,TCGKEY001,"Meet Soul Gazer, now as a cute and fluffy key chain from The Scape.
Small in size but full of charm, perfect for taking Soul Gazer with you everywhere.
Clip it to your bag or keys for a touch of cozy Scape vibes.Height: 13 cmLimited edition. A must-have collectible for Guardians.",The Scape,Manual - Physical Item (Contact CS),Chance to win,"Thanks for participating, please wait for the campaign winner announcement.",
84,Token,PUP,,,PUP is the special community point used exclusively within the Adopatble Puppy Cafe and Thai Dogs Matter on Freedom World. The points make your impact clear and easy to follow: 1 PUP point = 1 THB donated. This system lets you transparently track the direct effect of your contribution towards building a better life for dogs that need our love. ,The Adoptable Puppy Cafe and Thai Dogs Matter,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,
85,Consumables,Dimension Generator,,IC_DIMENSION_GENERATOR,"A Portal Destabilizer, this invention was built on Dominion technology, allowing the Crossing to be scrambled within a certain area. This resets all Scape creatures within an area and replaces them with new ones.",The Scape,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,details here
86,Consumables,Greater Dimension Generator,,IC_GREATER_DIMENSION_GENERATOR,"An enhanced version of the Dimension Disruptor, this device was used by the Dominion to scramble an area to attract more dangerous monsters.",The Scape,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,details here
87,Consumables,Mega Dimension Generator,,IC_MEGA_DIMENSION_GENERATOR,"The Mega Dimension Disruptor scrambles reality within an area and opens a doorway into multiple portions of the Scape, allowing a larger influx of Scape monsters to pass the Crossing.",The Scape,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,details here
88,Consumables,Mooderling Lure,,IC_MOODERLING_LURE,"A tiny glowing orb that hums with soothing energy, irresistibly attracting nearby Mooderlings to gather around it.",The Scape,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,details here
89,Token,OBS,,,"Obsidian occurs as a darkened stone. When combined with other materials, it can change colors, enhancing or refining other magical properties.",The Scape,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,Obsidian
90,Token,ATHS,,,"Aetherstone is a crystalline mineral infused with latent Scape energies. When refined, it amplifies spells and infuses objects with heightened magical potential,, making it a prized material for crafting and construction.",The Scape,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,Aetherstone
91,Token,CRM,,,"An ultra-dense mineral resistant to heat and force, Ceramite is prized for its near-indestructibility. Used in high-grade armor and military-grade construction, it offers unmatched protection against physical and magical assaults.",The Scape,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,Ceramite
92,Token,DRS,,,"Durasteel ore is found within the Scape. It enhances or dampens magical properties, making it an ideal material for forging weapons and armor.",The Scape,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,Durasteel
93,Token,ADMT,,,"Adamantium is an exceptionally durable metal found deep within planetary crusts. It resists physical and magical warping, making it a prime choice for reinforced plating and weapon craftsmanship.",The Scape,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,Adamantium
94,Token,VSA,,,"A fusion of rare metals and exotic materials found only in the Scape, Voidsteel is forged by harnessing chaotic Scape energy and is renowned for its durability, versatility, and ability to preserve magic.",The Scape,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,Voidsteel Alloy
95,Token,NCC,,,"Aesian Nanocircuits, or Nanos, were first created by the Aesir to better channel Scape energies. They are used in runes or woven into fabric and armor, allowing conflicting energies to work in harmony.",The Scape,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,Nano-Circuits
96,Token,NRFM,,,"Neurofiber Mesh is a flexible, conductive material designed to interface with neural pathways. It enhances reflexes and cognition, making it a staple in high-performance cybernetics and the harnessing of Scape energies.",The Scape,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,Neurofiber Mesh
97,Token,QTPC,,,"Quantum Processor Chips represent the peak of Scape computational power, enabling near-instant calculations beyond what is possible with conventional technology. They are essential for advanced AIs and high-tier combat systems, granting users an edge over man and machine.",The Scape,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,Quantum Processor Chip
98,Token,BIOG,,,Biogel is a conduit of Creation. It is commonly used to enchant or forge equipment with healing and restoration properties.,The Scape,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,Bio-Gel
99,Token,PMF,,,"Plasmic Fluid is a volatile liquid substance that pulses with Scape energies. It is often harnessed as a catalyst for bio-engineering and magical augmentation applications, powering potent transformations and arcane transmutations.",The Scape,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,Plasmic Fluid
100,Token,BSTR,,,"Biosynthetic Resin is an advanced organic compound synthesized for regeneration and reinforcement. It binds seamlessly to living tissue and synthetic structures, enabling rapid self-repair.",The Scape,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,Biosynthetic Resin
101,Token,INCT,,,"This specialized item allows the conversion of Scape materials into nutrients, simulating the conditions a creature from the Scape would experience as a foetus.",The Scape,Automatic (FDW Wallet),You have received,Your items will be sent to your wallet and inventory shortly. ,Incubator Tube
102,,,,,,,,,,
103,,,,,,,,,,
104,,,,,,,,,,
105,,,,,,,,,,
106,,,,,,,,,,
107,,,,,,,,,,
108,,,,,,,,,,
109,,,,,,,,,,
110,,,,,,,,,,
111,,,,,,,,,,
112,,,,,,,,,,
113,,,,,,,,,,
114,,,,,,,,,,
115,,,,,,,,,,
116,,,,,,,,,,